id,category_name,primary_segment,secondary_segments
1,Beading & Jewelry Making,DIY Crafter,"Photographer,Baby & Kids Shopper"
2,Fabric Decorating,Home Decorator,"Fashion Shopper,DIY Crafter"
3,Knitting & Crochet Supplies,Baby & Kids Shopper,"DIY Crafter,Fashion Shopper"
4,Printmaking Supplies,Photographer,"DIY Crafter,Fashion Shopper"
5,Scrapbooking & Stamping Supplies,Baby & Kids Shopper,"DIY Crafter,Photographer"
6,Sewing Products,Fashion Shopper,"DIY Crafter,Baby & Kids Shopper"
7,Craft & Hobby Fabric,DIY Crafter,"Baby & Kids Shopper,Beauty & Skincare Fan"
8,Needlework Supplies,Baby & Kids Shopper,"DIY Crafter,Fashion Shopper"
9,"Arts, Crafts & Sewing Storage",DIY Crafter,"Baby & Kids Shopper,Home Decorator"
10,"Painting, Drawing & Art Supplies",Photographer,"Beauty & Skincare Fan,Home Decorator"
11,Craft Supplies & Materials,DIY Crafter,"Baby & Kids Shopper,Home Decorator"
12,Gift Wrapping Supplies,Baby & Kids Shopper,"DIY Crafter,Electronics Enthusiast"
13,Party Decorations,Home Decorator,"Fashion Shopper,Car Enthusiast"
14,Automotive Paint & Paint Supplies,Car Enthusiast,"Beauty & Skincare Fan,Electronics Enthusiast"
15,Heavy Duty & Commercial Vehicle Equipment,Car Enthusiast,"Cyclist,Sports Enthusiast"
16,Automotive Tires & Wheels,Car Enthusiast,"Baby & Kids Shopper,Cyclist"
17,Automotive Tools & Equipment,Car Enthusiast,"Electronics Enthusiast,Baby & Kids Shopper"
18,Automotive Performance Parts & Accessories,Car Enthusiast,"Sports Enthusiast,Electronics Enthusiast"
19,Car Care,Car Enthusiast,"Beauty & Skincare Fan,Baby & Kids Shopper"
20,Oils & Fluids,Beauty & Skincare Fan,"Baby & Kids Shopper,Car Enthusiast"
21,Automotive Replacement Parts,Car Enthusiast,"Electronics Enthusiast,Cyclist"
22,"Lights, Bulbs & Indicators",Electronics Enthusiast,"Baby & Kids Shopper,Car Enthusiast"
23,Automotive Interior Accessories,Car Enthusiast,"Electronics Enthusiast,Sports Enthusiast"
24,Automotive Exterior Accessories,Car Enthusiast,"Electronics Enthusiast,Outdoor Adventurer"
25,Automotive Enthusiast Merchandise,Car Enthusiast,"Electronics Enthusiast,Sports Enthusiast"
26,Car Electronics & Accessories,Car Enthusiast,"Electronics Enthusiast,Baby & Kids Shopper"
27,RV Parts & Accessories,Car Enthusiast,"Baby & Kids Shopper,Outdoor Adventurer"
28,Motorcycle & Powersports,Sports Enthusiast,"Cyclist,Car Enthusiast"
29,Baby Diapering Products,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
30,Baby & Toddler Feeding Supplies,Baby & Kids Shopper,"Foodie,Beauty & Skincare Fan"
31,Pregnancy & Maternity Products,Baby & Kids Shopper,"Beauty & Skincare Fan,Fashion Shopper"
32,Child Safety Car Seats & Accessories,Baby & Kids Shopper,"Car Enthusiast,Fashion Shopper"
33,Baby Safety Products,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
34,Toilet Training Products,Baby & Kids Shopper,"Fitness Buff,Fashion Shopper"
35,Baby Care Products,Baby & Kids Shopper,"Beauty & Skincare Fan,Fashion Shopper"
36,Baby Travel Gear,Baby & Kids Shopper,"Traveler,Fashion Shopper"
38,Baby Activity & Entertainment Products,Baby & Kids Shopper,"Electronics Enthusiast,Sports Enthusiast"
39,Baby Gifts,Baby & Kids Shopper,"Fashion Shopper,Car Enthusiast"
40,Baby Stationery,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
41,"Nursery Furniture, Bedding & Décor",Baby & Kids Shopper,"Home Decorator,Fashion Shopper"
42,Baby,Baby & Kids Shopper,"Photographer,Traveler"
43,Baby Boys' Clothing & Shoes,Baby & Kids Shopper,"Fashion Shopper,Cyclist"
44,Baby Strollers & Accessories,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
45,Beauty & Personal Care,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
46,Perfumes & Fragrances,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
47,Hair Care Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
48,Makeup,Beauty & Skincare Fan,"Fashion Shopper,Photographer"
49,Skin Care Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
50,Beauty Tools & Accessories,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
51,"Foot, Hand & Nail Care Products",Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
52,Personal Care Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
53,Shaving & Hair Removal Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
