user_id,primary_category_id,primary_segment,secondary_category_ids,secondary_segments,age_group,gender,country,preferred_device
U00001,261,Baby & Kids Shopper,"233,253,60","Electronics Enthusiast,Car Enthusiast,Gamer",45-54,Female,UK,desktop
U00002,232,Baby & Kids Shopper,68,Fashion Shopper,55+,Female,IN,mobile
U00003,235,Baby & Kids Shopper,"68,264","Fashion Shopper,Baby & Kids Shopper",35-44,Female,CA,tablet
U00004,180,Pet Owner,"96,19,42","Car Enthusiast,Baby & Kids Shopper,Baby & Kids Shopper",25-34,Other,UK,desktop
U00005,132,Sports Enthusiast,41,Baby & Kids Shopper,55+,Other,UK,mobile
U00006,27,Car Enthusiast,"114,10","Photographer,Cyclist",45-54,Other,CA,mobile
U00007,237,Baby & Kids Shopper,146,Electronics Enthusiast,25-34,Female,IN,desktop
U00008,166,Fashion Shopper,"113,157,109","Fashion Shopper,Cyclist,DIY Crafter",55+,Male,UK,desktop
U00009,21,Car Enthusiast,"96,56","Electronics Enthusiast,Baby & Kids Shopper",25-34,Female,IN,tablet
U00010,250,Electronics Enthusiast,"38,42,161","Baby & Kids Shopper,Baby & Kids Shopper,Baby & Kids Shopper",45-54,Other,AU,desktop
U00011,162,Electronics Enthusiast,180,Pet Owner,18-24,Female,IN,tablet
U00012,149,Electronics Enthusiast,"50,219,16","Car Enthusiast,Beauty & Skincare Fan,Baby & Kids Shopper",35-44,Male,AU,tablet
U00013,17,Car Enthusiast,"225,45,105","Beauty & Skincare Fan,Traveler,Baby & Kids Shopper",55+,Male,US,tablet
U00014,218,Baby & Kids Shopper,"213,139","Electronics Enthusiast,Electronics Enthusiast",25-34,Other,IN,desktop
U00015,25,Car Enthusiast,"122,105","Traveler,Fashion Shopper",55+,Other,AU,mobile
U00016,219,Baby & Kids Shopper,38,Baby & Kids Shopper,35-44,Other,IN,tablet
U00017,158,Electronics Enthusiast,169,Beauty & Skincare Fan,25-34,Female,AU,mobile
U00018,120,Fashion Shopper,"153,244,218","DIY Crafter,Baby & Kids Shopper,Baby & Kids Shopper",55+,Other,US,mobile
U00019,198,Sports Enthusiast,"21,237","Car Enthusiast,Baby & Kids Shopper",25-34,Female,AU,mobile
U00020,159,Beauty & Skincare Fan,"40,185,22","Electronics Enthusiast,Baby & Kids Shopper,Electronics Enthusiast",35-44,Female,CA,tablet
U00021,53,Beauty & Skincare Fan,"110,197","Fashion Shopper,Home Decorator",25-34,Other,UK,desktop
U00022,130,Home Decorator,"195,104,108","Fashion Shopper,Fashion Shopper,Gardener",55+,Other,UK,desktop
U00023,36,Baby & Kids Shopper,126,Beauty & Skincare Fan,25-34,Female,CA,tablet
U00024,220,Baby & Kids Shopper,149,Electronics Enthusiast,18-24,Female,US,tablet
U00025,30,Baby & Kids Shopper,88,Baby & Kids Shopper,35-44,Other,CA,tablet
U00026,261,Baby & Kids Shopper,"200,100","Fashion Shopper,Sports Enthusiast",55+,Male,UK,desktop
U00027,17,Car Enthusiast,"198,173","Home Decorator,Sports Enthusiast",35-44,Female,UK,desktop
U00028,55,Photographer,"256,14","Car Enthusiast,Gamer",25-34,Male,IN,tablet
U00029,211,Electronics Enthusiast,"198,79,20","Beauty & Skincare Fan,Photographer,Sports Enthusiast",45-54,Male,IN,desktop
U00030,236,Car Enthusiast,160,Baby & Kids Shopper,55+,Female,IN,mobile
U00031,227,Photographer,"95,123,260","Baby & Kids Shopper,Fashion Shopper,Baby & Kids Shopper",55+,Female,UK,mobile
U00032,71,Electronics Enthusiast,129,Baby & Kids Shopper,45-54,Male,UK,mobile
U00033,195,Gardener,"90,41","Baby & Kids Shopper,Baby & Kids Shopper",55+,Male,AU,desktop
U00034,163,Beauty & Skincare Fan,"233,105,235","Traveler,Car Enthusiast,Baby & Kids Shopper",35-44,Female,US,desktop
U00035,78,Electronics Enthusiast,206,Electronics Enthusiast,25-34,Male,CA,tablet
U00036,10,Photographer,"181,238,91","Baby & Kids Shopper,Pet Owner,Baby & Kids Shopper",35-44,Other,AU,tablet
U00037,153,DIY Crafter,224,Baby & Kids Shopper,25-34,Female,AU,mobile
U00038,98,Fashion Shopper,"68,23,21","Car Enthusiast,Car Enthusiast,Fashion Shopper",18-24,Male,UK,tablet
U00039,168,Home Decorator,1,DIY Crafter,18-24,Male,IN,tablet
U00040,201,Home Decorator,"68,162,262","Fashion Shopper,Electronics Enthusiast,Baby & Kids Shopper",18-24,Male,IN,tablet
U00041,65,Electronics Enthusiast,"179,107","Baby & Kids Shopper,Pet Owner",18-24,Other,US,tablet
U00042,238,Baby & Kids Shopper,"30,16","Car Enthusiast,Baby & Kids Shopper",55+,Female,IN,desktop
U00043,174,Home Decorator,"221,84,id","primary_segment,Baby & Kids Shopper,Baby & Kids Shopper",18-24,Male,CA,mobile
U00044,179,Pet Owner,"221,127","Beauty & Skincare Fan,Baby & Kids Shopper",18-24,Male,CA,tablet
U00045,128,Beauty & Skincare Fan,"56,2","Home Decorator,Electronics Enthusiast",18-24,Male,UK,tablet
U00046,44,Baby & Kids Shopper,"200,84","Baby & Kids Shopper,Sports Enthusiast",25-34,Male,CA,desktop
